Semana,Filas_unicas,strength,date
2016-00,2.0,2016-00,408.125
2016-01,2.0,2016-01,374.6666666666667
2016-02,0.0,2016-02,725.2105263157895
2016-03,1.0,2016-03,338.81632653061223
2016-04,1.0,2016-04,607.0
2016-05,1.0,2016-05,357.57142857142856
2016-06,0.0,2016-06,942.095238095238
2016-07,2.0,2016-07,691.2105263157895
2016-08,0.0,2016-08,1425.5454545454545
2016-09,2.0,2016-09,752.6
2016-10,2.0,2016-10,428.125
2016-11,2.0,2016-11,1255.6666666666667
2016-12,1.0,2016-12,816.25
2016-13,0.0,2016-13,573.7647058823529
2016-14,2.0,2016-14,767.3125
2016-15,0.0,2016-15,454.3333333333333
2016-16,2.0,2016-16,339.1764705882353
2016-17,2.0,2016-17,726.4285714285714
2016-18,2.0,2016-18,703.6
2016-19,0.0,2016-19,614.0
2016-20,1.0,2016-20,303.75
2016-21,0.0,2016-22,836.0833333333334
2016-22,0.0,2016-23,599.8461538461538
2016-23,1.0,2016-24,86.0
2016-24,1.0,2016-26,641.0
2016-25,0.0,2016-27,470.2
2016-26,0.0,2016-28,214.83333333333331
2016-27,2.0,2016-30,470.5
2016-28,2.0,2016-31,558.9
2016-29,0.0,2016-32,482.5
2016-30,1.0,2016-33,700.5
2016-31,0.0,2016-34,92.0
2016-32,6.0,2016-36,818.7272727272727
2016-33,1.0,2016-37,309.875
2016-34,0.0,2016-38,350.4
2016-35,2.0,2016-39,1451.2105263157894
2016-36,0.0,2016-40,625.8571428571429
2016-37,1.0,2016-41,177.2
2016-38,0.0,2016-46,790.9166666666666
2016-39,0.0,2016-47,289.85714285714283
2016-40,2.0,,
2016-41,0.0,,
2016-42,0.0,,
2016-43,0.0,,
2016-44,1.0,,
2016-45,0.0,,
2016-46,0.0,,
2016-47,1.0,,
2016-48,0.0,,
2016-49,0.0,,
2016-50,0.0,,
2016-51,0.0,,
2016-52,0.0,,
