strength,date,Unnamed: 2,filename
288,2016-04,2016-01-20,AR_LIST_2016.01.20_00:00:00.txt
611,2016-04,2016-01-20,AR_LIST_2016.01.20_00:00:00.txt
50,2016-03,2016-01-20,AR_LIST_2016.01.20_12:00:00.txt
132,2016-03,2016-01-20,AR_LIST_2016.01.20_12:00:00.txt
143,2016-03,2016-01-20,AR_LIST_2016.01.20_12:00:00.txt
856,2016-04,2016-01-20,AR_LIST_2016.01.20_12:00:00.txt
92,2016-04,2016-01-21,AR_LIST_2016.01.21_00:00:00.txt
121,2016-04,2016-01-21,AR_LIST_2016.01.21_00:00:00.txt
1041,2016-04,2016-01-21,AR_LIST_2016.01.21_00:00:00.txt
89,2016-03,2016-01-21,AR_LIST_2016.01.21_12:00:00.txt
139,2016-03,2016-01-21,AR_LIST_2016.01.21_12:00:00.txt
1050,2016-04,2016-01-21,AR_LIST_2016.01.21_12:00:00.txt
88,2016-04,2016-01-22,AR_LIST_2016.01.22_00:00:00.txt
104,2016-04,2016-01-22,AR_LIST_2016.01.22_00:00:00.txt
832,2016-04,2016-01-22,AR_LIST_2016.01.22_00:00:00.txt
97,2016-03,2016-01-22,AR_LIST_2016.01.22_12:00:00.txt
30,2016-03,2016-01-22,AR_LIST_2016.01.22_12:00:00.txt
795,2016-04,2016-01-22,AR_LIST_2016.01.22_12:00:00.txt
9,2016-04,2016-01-23,AR_LIST_2016.01.23_00:00:00.txt
3,2016-04,2016-01-23,AR_LIST_2016.01.23_00:00:00.txt
533,2016-04,2016-01-23,AR_LIST_2016.01.23_00:00:00.txt
693,2016-04,2016-01-23,AR_LIST_2016.01.23_00:00:00.txt
81,2016-03,2016-01-23,AR_LIST_2016.01.23_12:00:00.txt
652,2016-04,2016-01-23,AR_LIST_2016.01.23_12:00:00.txt
588,2016-04,2016-01-23,AR_LIST_2016.01.23_12:00:00.txt
43,2016-04,2016-01-24,AR_LIST_2016.01.24_00:00:00.txt
734,2016-04,2016-01-24,AR_LIST_2016.01.24_00:00:00.txt
429,2016-04,2016-01-24,AR_LIST_2016.01.24_00:00:00.txt
718,2016-04,2016-01-24,AR_LIST_2016.01.24_12:00:00.txt
251,2016-04,2016-01-24,AR_LIST_2016.01.24_12:00:00.txt
636,2016-04,2016-01-25,AR_LIST_2016.01.25_00:00:00.txt
142,2016-04,2016-01-25,AR_LIST_2016.01.25_00:00:00.txt
353,2016-04,2016-01-25,AR_LIST_2016.01.25_12:00:00.txt
47,2016-04,2016-01-25,AR_LIST_2016.01.25_12:00:00.txt
163,2016-04,2016-01-26,AR_LIST_2016.01.26_00:00:00.txt
13,2016-04,2016-01-26,AR_LIST_2016.01.26_00:00:00.txt
546,2016-05,2016-01-26,AR_LIST_2016.01.26_12:00:00.txt
