Semana,Filas_unicas
2012-01,2.0
2012-02,0.0
2012-03,5.0
2012-04,2.0
2012-05,0.0
2012-06,0.0
2012-07,3.0
2012-08,2.0
2012-09,0.0
2012-10,2.0
2012-11,2.0
2012-12,3.0
2012-13,1.0
2012-14,0.0
2012-15,1.0
2012-16,4.0
2012-17,2.0
2012-18,4.0
2012-19,5.0
2012-20,4.0
2012-21,1.0
2012-22,3.0
2012-23,0.0
2012-24,3.0
2012-25,0.0
2012-26,2.0
2012-27,3.0
2012-28,0.0
2012-29,1.0
2012-30,5.0
2012-31,5.0
2012-32,3.0
2012-33,1.0
2012-34,2.0
2012-35,6.0
2012-36,2.0
2012-37,1.0
2012-38,4.0
2012-39,3.0
2012-40,1.0
2012-41,4.0
2012-42,4.0
2012-43,3.0
2012-44,1.0
2012-45,4.0
2012-46,3.0
2012-47,0.0
2012-48,3.0
2012-49,1.0
2012-50,0.0
2012-51,3.0
2012-52,2.0
2012-53,0.0
