Mitad_semana,Filas_unicas
2011-00,0.0
2011-00.5,1.0
2011-01,0.0
2011-01.5,0.0
2011-02,0.0
2011-02.5,0.0
2011-03,2.0
2011-03.5,0.0
2011-04,0.0
2011-04.5,1.0
2011-05,0.0
2011-05.5,0.0
2011-06,0.0
2011-06.5,0.0
2011-07,1.0
2011-07.5,0.0
2011-08,0.0
2011-08.5,2.0
2011-09,0.0
2011-09.5,2.0
2011-10,1.0
2011-10.5,1.0
2011-11,0.0
2011-11.5,0.0
2011-12,2.0
2011-12.5,3.0
2011-13,1.0
2011-13.5,0.0
2011-14,1.0
2011-14.5,1.0
2011-15,1.0
2011-15.5,1.0
2011-16,1.0
2011-16.5,2.0
2011-17,0.0
2011-17.5,2.0
2011-18,0.0
2011-18.5,0.0
2011-19,0.0
2011-19.5,0.0
2011-20,1.0
2011-20.5,1.0
2011-21,1.0
2011-21.5,1.0
2011-22,3.0
2011-22.5,2.0
2011-23,0.0
2011-23.5,0.0
2011-24,1.0
2011-24.5,1.0
2011-25,0.0
2011-25.5,0.0
2011-26,1.0
2011-26.5,0.0
2011-27,0.0
2011-27.5,0.0
2011-28,1.0
2011-28.5,1.0
2011-29,1.0
2011-29.5,0.0
2011-30,1.0
2011-30.5,1.0
2011-31,0.0
2011-31.5,0.0
2011-32,0.0
2011-32.5,0.0
2011-33,3.0
2011-33.5,0.0
2011-34,2.0
2011-34.5,3.0
2011-35,2.0
2011-35.5,1.0
2011-36,2.0
2011-36.5,1.0
2011-37,3.0
2011-37.5,0.0
2011-38,2.0
2011-38.5,1.0
2011-39,2.0
2011-39.5,2.0
2011-40,2.0
2011-40.5,1.0
2011-41,2.0
2011-41.5,0.0
2011-42,2.0
2011-42.5,2.0
2011-43,3.0
2011-43.5,0.0
2011-44,3.0
2011-44.5,1.0
2011-45,7.0
2011-45.5,0.0
2011-46,2.0
2011-46.5,4.0
2011-47,3.0
2011-47.5,1.0
2011-48,3.0
2011-48.5,0.0
2011-49,1.0
2011-49.5,2.0
2011-50,0.0
2011-50.5,0.0
2011-51,3.0
2011-51.5,1.0
2011-52,2.0
2011-52.5,1.0
