ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11689,147.0,100.0,Eai,12.0,12,Beta,-19.0,36.0
I,11690,119.0,10.0,Bxo,1.0,1,Beta,24.0,8.0
I,11691,124.0,60.0,Dso,5.0,4,Beta,12.0,12.0
I,11692,76.0,190.0,Hsx,3.0,1,Alpha,9.0,-35.0
I,11694,73.0,20.0,Hsx,1.0,1,Alpha,16.0,-38.0
I,11695,53.0,140.0,Hsx,2.0,1,Alpha,9.0,-58.0
I,11696,91.0,90.0,Dao,6.0,5,Beta,5.0,-19.0
IA,11685,189.0,,,,,,-13.0,77.0
IA,11687,163.0,,,,,,8.0,51.0
IA,11688,184.0,,,,,,-17.0,72.0
IA,11693,172.0,,,,,,18.0,60.0
