ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11691,124.0,120.0,Cso,7.0,2,Beta,12.0,78.0
I,11692,75.0,240.0,Cso,3.0,2,Beta,9.0,29.0
I,11695,55.0,180.0,Cso,3.0,3,Beta,10.0,9.0
I,11696,95.0,190.0,Eai,13.0,16,Beta-Gamma,5.0,49.0
I,11697,109.0,10.0,Bxo,5.0,2,Beta,15.0,63.0
I,11698,118.0,200.0,Eao,11.0,16,Beta,-19.0,72.0
I,11699,91.0,30.0,Cro,4.0,3,Beta,-15.0,45.0
I,11700,352.0,10.0,Bxo,3.0,2,Beta,-13.0,-54.0
IA,11690,124.0,,,,,,25.0,78.0
IA,11694,79.0,,,,,,17.0,33.0
