ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11856,226.0,10.0,Bxo,3.0,2,Beta,7.0,36.0
I,11857,227.0,100.0,Hsx,5.0,1,Alpha,-8.0,37.0
I,11861,168.0,200.0,Eac,11.0,23,Beta,-10.0,-22.0
I,11862,251.0,40.0,Dao,7.0,8,Beta,-23.0,61.0
I,11863,198.0,30.0,Dro,4.0,5,Beta,-19.0,8.0
I,11864,156.0,60.0,Hax,2.0,2,Alpha,-23.0,-34.0
I,11865,145.0,220.0,Dai,7.0,15,Beta-Gamma-Delta,-22.0,-45.0
I,11867,183.0,10.0,Axx,2.0,2,Alpha,23.0,-7.0
IA,11860,191.0,,,,,,-28.0,1.0
IA,11866,267.0,,,,,,-16.0,77.0
