ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11711,156.0,400.0,Cko,4.0,5,Beta,-16.0,42.0
I,11713,175.0,190.0,Cso,8.0,16,Beta,9.0,61.0
I,11714,126.0,60.0,Cso,3.0,3,Beta,14.0,12.0
I,11716,124.0,10.0,Axx,1.0,1,Alpha,-20.0,9.0
I,11717,92.0,10.0,Bxo,2.0,2,Beta,-12.0,-22.0
I,11718,108.0,220.0,Dao,8.0,34,Beta,22.0,-7.0
I,11719,75.0,240.0,Cao,9.0,16,Beta-Gamma,7.0,-39.0
I,11720,135.0,10.0,Cro,4.0,5,Beta,10.0,21.0
IA,11708,197.0,,,,,,13.0,81.0
IA,11710,199.0,,,,,,-23.0,83.0
IA,11712,195.0,,,,,,2.0,79.0
IA,11715,183.0,,,,,,18.0,67.0
