ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11908,232.0,80.0,Dso,9.0,3,Beta,-26.0,48.0
I,11909,205.0,250.0,Ekc,11.0,11,Beta-Gamma,-17.0,20.0
I,11911,222.0,10.0,Bxo,2.0,2,Beta,-11.0,38.0
I,11912,143.0,110.0,Hsx,2.0,1,Alpha,-21.0,-40.0
I,11913,268.0,130.0,Dao,9.0,5,Beta,-14.0,84.0
I,11915,208.0,30.0,Cao,3.0,3,Beta,-29.0,23.0
I,11916,165.0,10.0,Bxo,4.0,3,Beta,-14.0,-19.0
IA,11905,262.0,,,,,,18.0,77.0
IA,11906,269.0,,,,,,-17.0,84.0
IA,11914,232.0,,,,,,-18.0,47.0
