ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11872,60.0,70.0,Dso,8.0,2,Beta,-18.0,54.0
I,11875,29.0,720.0,Ekc,15.0,50,Beta-Gamma-Delta,8.0,23.0
I,11877,9.0,440.0,Dkc,9.0,19,Beta-Gamma,-12.0,3.0
I,11879,356.0,100.0,Cai,7.0,11,Beta,-12.0,-10.0
I,11881,329.0,10.0,Bxo,3.0,4,Beta,-22.0,-37.0
I,11882,293.0,100.0,Dso,9.0,2,Beta,-8.0,-73.0
IA,11869,76.0,,,,,,16.0,70.0
IA,11871,82.0,,,,,,16.0,76.0
IA,11873,53.0,,,,,,11.0,47.0
IA,11874,81.0,,,,,,-11.0,75.0
IA,11880,64.0,,,,,,12.0,58.0
