ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11642,253.0,110.0,Hsx,3.0,1,Alpha,-25.0,84.0
I,11644,241.0,20.0,Hsx,1.0,1,Alpha,15.0,72.0
I,11649,204.0,60.0,Cao,3.0,3,Beta,-16.0,35.0
I,11650,199.0,60.0,Cao,3.0,3,Beta,-28.0,30.0
I,11652,183.0,210.0,Eai,13.0,16,Beta-Gamma,19.0,14.0
I,11653,190.0,10.0,Cao,1.0,2,Beta,9.0,21.0
I,11654,151.0,950.0,Fkc,17.0,31,Beta-Gamma,8.0,-18.0
I,11655,206.0,10.0,Bxo,5.0,2,Beta,-21.0,37.0
I,11656,130.0,30.0,Cro,7.0,7,Beta,22.0,-39.0
IA,11646,233.0,,,,,,13.0,64.0
IA,11648,224.0,,,,,,5.0,55.0
IA,11651,229.0,,,,,,20.0,60.0
IA,11657,160.0,,,,,,-17.0,-9.0
