ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11861,168.0,480.0,Dho,8.0,17,Beta,-10.0,45.0
I,11863,198.0,10.0,Cro,3.0,2,Beta,-17.0,75.0
I,11864,156.0,60.0,Hsx,1.0,1,Alpha,-23.0,32.0
I,11865,144.0,90.0,Dao,5.0,11,Beta-Gamma-Delta,-21.0,21.0
I,11867,180.0,20.0,Cro,8.0,4,Beta,24.0,56.0
I,11868,100.0,10.0,Axx,1.0,1,Alpha,17.0,-23.0
I,11869,79.0,30.0,Cro,3.0,2,Beta,20.0,-44.0
I,11870,144.0,20.0,Cro,4.0,8,Beta,-14.0,21.0
I,11871,77.0,20.0,Hrx,1.0,1,Alpha,17.0,-46.0
I,11872,55.0,60.0,Hsx,2.0,1,Alpha,-15.0,-67.0
IA,11860,195.0,,,,,,-28.0,71.0
