ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11638,309.0,100.0,Hsx,3.0,2,Alpha,13.0,21.0
I,11640,323.0,240.0,Eai,13.0,28,Beta-Gamma-Delta,28.0,35.0
I,11641,281.0,50.0,Hsx,1.0,1,Alpha,5.0,-7.0
I,11642,254.0,80.0,Hsx,2.0,1,Alpha,-24.0,-34.0
I,11644,240.0,60.0,Hsx,1.0,2,Alpha,14.0,-48.0
I,11645,293.0,30.0,Dro,4.0,11,Beta,-13.0,5.0
I,11646,231.0,80.0,Hsx,1.0,1,Alpha,13.0,-57.0
IA,11636,343.0,,,,,,14.0,55.0
IA,11637,351.0,,,,,,6.0,63.0
IA,11639,312.0,,,,,,-16.0,24.0
IA,11643,257.0,,,,,,-14.0,-31.0
