ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11820,176.0,70.0,Cao,9.0,3,Beta,-12.0,73.0
I,11823,140.0,100.0,Hsx,2.0,1,Alpha,-6.0,37.0
I,11825,189.0,30.0,Hax,1.0,1,Alpha,15.0,86.0
I,11827,98.0,30.0,Cro,5.0,8,Beta,-18.0,-5.0
I,11828,89.0,20.0,Cro,3.0,3,Beta,15.0,-14.0
I,11830,168.0,70.0,Dao,9.0,5,Beta,-5.0,64.0
I,11831,166.0,60.0,Dao,6.0,7,Beta,14.0,63.0
I,11832,165.0,30.0,Cro,4.0,6,Beta,25.0,61.0
I,11833,96.0,10.0,Bxo,2.0,3,Beta,18.0,-7.0
IA,11822,160.0,,,,,,-11.0,56.0
IA,11826,159.0,,,,,,13.0,55.0
IA,11829,192.0,,,,,,5.0,88.0
