ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11610,263.0,60.0,Cso,3.0,2,Beta,-23.0,76.0
I,11611,244.0,120.0,Hsx,2.0,1,Alpha,12.0,57.0
I,11612,230.0,30.0,Cro,4.0,3,Beta,9.0,43.0
I,11613,206.0,100.0,Cso,6.0,10,Beta-Gamma,-24.0,19.0
I,11614,194.0,160.0,Dai,10.0,31,Beta,15.0,7.0
I,11615,208.0,10.0,Bxo,5.0,4,Beta,8.0,21.0
I,11616,164.0,60.0,Cso,10.0,12,Beta,19.0,-23.0
I,11618,136.0,20.0,Eai,13.0,1,Beta,9.0,-50.0
I,11619,171.0,90.0,Dao,5.0,9,Beta,10.0,-16.0
IA,11609,267.0,,,,,,-14.0,80.0
IA,11617,219.0,,,,,,-18.0,32.0
