ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11493,220.0,60.0,Hax,2.0,1,Alpha,16.0,80.0
I,11494,200.0,70.0,Hax,3.0,1,Alpha,-16.0,60.0
I,11496,202.0,10.0,Axx,1.0,1,Alpha,17.0,62.0
I,11497,224.0,80.0,Cao,6.0,6,Beta,-22.0,83.0
I,11499,184.0,50.0,Cao,6.0,11,Beta-Gamma,16.0,43.0
I,11504,89.0,120.0,Dai,10.0,7,Beta,-18.0,-51.0
I,11505,89.0,50.0,Dao,6.0,3,Beta,-10.0,-51.0
I,11506,74.0,50.0,Cao,2.0,2,Beta,11.0,-66.0
I,11507,111.0,60.0,Dao,9.0,5,Beta,-26.0,-29.0
IA,11498,193.0,,,,,,7.0,52.0
IA,11501,216.0,,,,,,7.0,75.0
IA,11502,185.0,,,,,,-17.0,44.0
