ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11493,211.0,130.0,Esi,14.0,11,Beta-Gamma,14.0,18.0
I,11494,199.0,160.0,Cso,10.0,8,Beta,-18.0,6.0
I,11496,203.0,20.0,Hax,1.0,1,Alpha,16.0,10.0
I,11497,224.0,230.0,Dao,7.0,7,Beta,-22.0,31.0
I,11498,192.0,20.0,Cao,4.0,7,Beta,6.0,-1.0
I,11499,188.0,20.0,Bxi,19.0,14,Beta-Gamma,15.0,-5.0
I,11502,181.0,0.0,Axx,1.0,1,Alpha,-17.0,-12.0
I,11503,248.0,0.0,Axx,1.0,2,Alpha,9.0,55.0
IA,11492,280.0,,,,,,-18.0,87.0
IA,11495,253.0,,,,,,-15.0,60.0
IA,11500,256.0,,,,,,9.0,63.0
IA,11501,208.0,,,,,,7.0,15.0
