ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11532,185.0,180.0,Hsx,8.0,1,Alpha,-16.0,92.0
I,11535,135.0,50.0,Cso,5.0,2,Beta,19.0,42.0
I,11537,110.0,50.0,Hsx,1.0,1,Alpha,12.0,17.0
I,11538,116.0,100.0,Dso,10.0,3,Beta,-22.0,23.0
I,11540,89.0,90.0,Dai,5.0,9,Beta,-26.0,-4.0
I,11542,31.0,140.0,Cso,8.0,6,Beta,-14.0,-62.0
I,11543,23.0,140.0,Cso,8.0,4,Beta,21.0,-70.0
IA,11534,175.0,,,,,,23.0,82.0
IA,11536,173.0,,,,,,-25.0,80.0
IA,11539,100.0,,,,,,-20.0,7.0
IA,11541,83.0,,,,,,-17.0,-10.0
