ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11530,210.0,120.0,Hsx,7.0,1,Alpha,-18.0,90.0
I,11532,186.0,210.0,Hsx,5.0,1,Alpha,-19.0,66.0
I,11535,135.0,90.0,Cso,4.0,6,Beta,18.0,15.0
I,11537,109.0,40.0,Hsx,1.0,1,Alpha,13.0,-9.0
I,11538,117.0,140.0,Dso,9.0,8,Beta,-22.0,-2.0
I,11539,101.0,10.0,Hrx,1.0,1,Alpha,-23.0,-18.0
I,11540,87.0,110.0,Dso,6.0,8,Beta,-27.0,-32.0
I,11541,81.0,10.0,Axx,0.0,1,Alpha,-16.0,-38.0
IA,11534,173.0,,,,,,23.0,54.0
IA,11536,171.0,,,,,,-25.0,52.0
