ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12339,127.0,70.0,Hsx,10.0,1,Alpha,11.0,96.0
I,12341,103.0,70.0,Hsx,5.0,2,Alpha,-19.0,71.0
I,12342,96.0,70.0,Hsx,3.0,3,Alpha,17.0,64.0
I,12344,71.0,20.0,Hrx,1.0,1,Alpha,-9.0,39.0
I,12348,25.0,90.0,Hax,2.0,2,Alpha,-10.0,-7.0
I,12349,357.0,10.0,Bxo,3.0,2,Beta,-20.0,-34.0
I,12350,9.0,10.0,Bxo,4.0,2,Beta,-16.0,-23.0
IA,12340,114.0,,,,,,-8.0,82.0
IA,12343,100.0,,,,,,9.0,68.0
IA,12345,122.0,,,,,,11.0,90.0
IA,12346,61.0,,,,,,-7.0,29.0
IA,12347,63.0,,,,,,4.0,31.0
