ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12303,69.0,100.0,Cao,5.0,7,Beta,19.0,30.0
I,12305,7.0,340.0,Ekc,13.0,15,Beta-Gamma-Delta,-8.0,-32.0
I,12307,43.0,10.0,Bxo,3.0,3,Beta,-19.0,4.0
I,12308,114.0,50.0,Hax,4.0,1,Alpha,16.0,75.0
I,12309,75.0,0.0,Axx,1.0,1,Alpha,14.0,36.0
I,12310,358.0,20.0,Cao,3.0,4,Beta,6.0,-41.0
I,12311,99.0,0.0,Axx,1.0,2,Alpha,11.0,60.0
I,12312,345.0,30.0,Cao,3.0,3,Beta,8.0,-54.0
I,12313,336.0,30.0,Hsx,2.0,1,Alpha,18.0,-63.0
