ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12335,196.0,10.0,Bxo,3.0,2,Beta,-14.0,85.0
I,12339,130.0,670.0,Fkc,18.0,51,Beta-Gamma,14.0,19.0
I,12340,111.0,10.0,Axx,1.0,1,Alpha,-7.0,0.0
I,12341,103.0,70.0,Hsx,2.0,1,Alpha,-19.0,-7.0
I,12342,88.0,30.0,Cro,7.0,5,Beta,18.0,-22.0
I,12343,98.0,10.0,Bxo,4.0,2,Beta,11.0,-12.0
I,12344,65.0,40.0,Cso,7.0,3,Beta,-10.0,-45.0
I,12345,116.0,10.0,Bxo,3.0,3,Beta,15.0,6.0
I,12346,55.0,50.0,Hsx,2.0,1,Alpha,-7.0,-55.0
I,12347,56.0,10.0,Axx,1.0,1,Alpha,5.0,-54.0
IA,12337,178.0,,,,,,-17.0,66.0
IA,12338,181.0,,,,,,5.0,69.0
