Semana,Filas_unicas,
2011-00,1.0,0.0
2011-01,0.0,0.0
2011-02,0.0,0.0
2011-03,2.0,0.0
2011-04,1.0,0.0
2011-05,0.0,0.0
2011-06,0.0,0.0
2011-07,1.0,459.22222222222223
2011-08,2.0,511.26666666666665
2011-09,2.0,171.78571428571428
2011-10,2.0,567.3333333333334
2011-11,0.0,862.4444444444445
2011-12,5.0,500.38461538461536
2011-13,1.0,149.6
2011-14,2.0,17.0
2011-15,2.0,0.0
2011-16,3.0,1069.1666666666667
2011-17,2.0,455.1724137931034
2011-18,0.0,263.77272727272725
2011-19,0.0,51.4
2011-20,2.0,0.0
2011-21,2.0,427.0
2011-22,5.0,344.2857142857143
2011-23,0.0,1098.928571428571
2011-24,2.0,878.2
2011-25,0.0,0.0
2011-26,1.0,628.0
2011-27,0.0,490.9090909090909
2011-28,2.0,0.0
2011-29,1.0,0.0
2011-30,2.0,0.0
2011-31,0.0,0.0
2011-32,0.0,457.0
2011-33,3.0,701.0
2011-34,5.0,53.285714285714285
2011-35,3.0,618.8888888888889
2011-36,3.0,1254.7037037037037
2011-37,3.0,1479.05
2011-38,3.0,723.02
2011-39,4.0,1120.2769230769231
2011-40,3.0,1220.6666666666667
2011-41,2.0,552.21875
2011-42,4.0,448.6428571428572
2011-43,3.0,1091.15625
2011-44,4.0,899.7746478873239
2011-45,7.0,452.7083333333333
2011-46,6.0,812.7297297297297
2011-47,4.0,1300.5405405405406
2011-48,3.0,619.25
2011-49,3.0,666.1111111111111
2011-50,0.0,569.1071428571429
2011-51,4.0,800.4642857142857
2011-52,3.0,838.8421052631579
