ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11338,121.0,120.0,Dao,4.0,6,Beta,-14.0,79.0
I,11339,104.0,650.0,Dac,9.0,26,Beta-Gamma,18.0,62.0
I,11340,73.0,80.0,Hsx,2.0,1,Alpha,-9.0,31.0
I,11341,56.0,80.0,Cso,4.0,4,Beta,11.0,14.0
I,11342,64.0,140.0,Hsx,2.0,2,Alpha,15.0,22.0
I,11343,44.0,140.0,Hsx,2.0,1,Alpha,27.0,1.0
I,11344,101.0,200.0,Dai,10.0,22,Beta,-19.0,59.0
I,11345,84.0,70.0,Dso,9.0,2,Beta,-26.0,41.0
I,11346,338.0,80.0,Hsx,2.0,1,Alpha,-17.0,-64.0
