ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11245,236.0,0.0,Axx,0.0,1,Alpha,13.0,49.0
I,11250,208.0,80.0,Cso,2.0,4,Beta,-27.0,21.0
I,11251,170.0,100.0,Hsx,2.0,1,Alpha,17.0,-17.0
I,11252,142.0,10.0,Bxo,0.0,3,Beta,25.0,-45.0
I,11254,138.0,50.0,Cao,8.0,5,Beta,-22.0,-49.0
I,11255,154.0,0.0,Bxo,0.0,3,Beta,18.0,-33.0
I,11256,153.0,20.0,Dro,3.0,3,Beta,9.0,-34.0
IA,11247,270.0,,,,,,-18.0,82.0
IA,11248,232.0,,,,,,20.0,44.0
IA,11249,247.0,,,,,,-16.0,59.0
IA,11253,228.0,,,,,,14.0,40.0
