ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11287,182.0,80.0,Dso,8.0,3,Beta,-27.0,68.0
I,11289,126.0,350.0,Cko,7.0,10,Beta,23.0,8.0
I,11290,139.0,70.0,Dao,8.0,8,Beta,-14.0,25.0
I,11292,76.0,50.0,Cao,6.0,5,Beta,9.0,-38.0
I,11293,140.0,10.0,Bxo,3.0,3,Beta,17.0,25.0
I,11294,102.0,20.0,Cso,5.0,5,Beta,-18.0,-13.0
I,11295,57.0,30.0,Cso,1.0,2,Beta,21.0,-58.0
I,11296,44.0,50.0,Dso,8.0,2,Beta,27.0,-70.0
IA,11288,193.0,,,,,,19.0,78.0
IA,11291,158.0,,,,,,23.0,43.0
