ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11245,237.0,5.0,Axx,0.0,1,Alpha,14.0,36.0
I,11250,208.0,100.0,Dso,7.0,10,Beta,-27.0,7.0
I,11251,170.0,100.0,Hsx,2.0,2,Alpha,17.0,-30.0
I,11252,144.0,20.0,Hrx,1.0,2,Alpha,25.0,-56.0
I,11254,141.0,30.0,Cro,2.0,1,Beta,-22.0,-59.0
I,11255,156.0,10.0,Axx,2.0,3,Alpha,17.0,-45.0
IA,11247,269.0,,,,,,-18.0,68.0
IA,11248,231.0,,,,,,20.0,30.0
IA,11249,246.0,,,,,,-16.0,45.0
IA,11253,227.0,,,,,,14.0,26.0
