ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11289,128.0,380.0,Hhx,4.0,5,Alpha,22.0,67.0
I,11290,145.0,10.0,Bxo,9.0,4,Beta,-13.0,84.0
I,11291,154.0,10.0,Bxo,1.0,2,Beta,21.0,93.0
I,11292,78.0,20.0,Hrx,1.0,1,Alpha,10.0,17.0
I,11294,106.0,10.0,Hrx,1.0,1,Alpha,-16.0,45.0
I,11295,57.0,210.0,Dai,10.0,17,Beta,22.0,-4.0
I,11296,41.0,130.0,Cao,7.0,9,Beta,25.0,-19.0
I,11298,51.0,100.0,Dso,8.0,3,Beta,15.0,-9.0
I,11299,63.0,40.0,Dso,6.0,6,Beta,-20.0,2.0
IA,11293,141.0,,,,,,17.0,79.0
IA,11297,151.0,,,,,,-18.0,90.0
