ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11363,106.0,250.0,Hhx,3.0,3,Alpha,-24.0,85.0
I,11364,103.0,50.0,Hsx,2.0,1,Alpha,18.0,82.0
I,11366,61.0,60.0,Hsx,3.0,1,Alpha,18.0,40.0
I,11367,82.0,10.0,Bxo,4.0,4,Beta,-18.0,61.0
I,11372,43.0,10.0,Bxo,7.0,6,Beta,8.0,22.0
I,11374,352.0,210.0,Dso,3.0,9,Beta,-17.0,-29.0
I,11375,356.0,140.0,Cso,5.0,9,Beta,9.0,-25.0
IA,11368,50.0,,,,,,-16.0,29.0
IA,11369,62.0,,,,,,22.0,41.0
IA,11370,80.0,,,,,,-24.0,59.0
IA,11371,64.0,,,,,,9.0,43.0
IA,11373,100.0,,,,,,-31.0,79.0
