Designation,Carrington Longitude,Strength,Detection Date,Prediction Date
FS-2014-132,313.0,1528,2015-01-01,2015-01-01.6
FS-2014-132,309.6,750,2015-01-01,2015-01-01.4
FS-2014-132,306.3,174,2015-01-02,2015-01-02.1
FS-2014-134,274.7,1804,2015-01-01,2015-01-04.5
FS-2014-134,280.8,1190,2015-01-01,2015-01-03.6
FS-2014-134,283.6,1023,2015-01-02,2015-01-03.8
FS-2014-134,284.5,877,2015-01-02,2015-01-03.3
FS-2014-134,283.3,489,2015-01-03,2015-01-03.4
FS-2014-134,284.8,717,2015-01-03,2015-01-03.8
FS-2014-134,279.5,171,2015-01-04,2015-01-04.2
FS-2014-137,280.7,284,2015-01-01,2015-01-04.2
FS-2014-137,281.9,181,2015-01-01,2015-01-03.7
FS-2014-137,278.1,135,2015-01-02,2015-01-04.5
FS-2014-137,278.3,52,2015-01-02,2015-01-03.9
FS-2014-137,277.6,19,2015-01-03,2015-01-04.5
FS-2014-139,239.6,8808,2015-01-01,2015-01-07.1
FS-2014-139,241.5,10029,2015-01-01,2015-01-06.5
FS-2014-139,240.0,9493,2015-01-02,2015-01-07.1
FS-2014-139,239.2,10301,2015-01-02,2015-01-06.7
FS-2014-139,237.5,9131,2015-01-03,2015-01-06.8
FS-2014-139,237.8,9682,2015-01-03,2015-01-07.3
FS-2014-139,238.2,6726,2015-01-04,2015-01-06.8
FS-2014-139,237.7,8057,2015-01-04,2015-01-07.4
FS-2014-139,238.4,4384,2015-01-05,2015-01-06.8
FS-2014-139,239.3,5637,2015-01-05,2015-01-07.3
FS-2014-139,235.5,3304,2015-01-06,2015-01-07.5
FS-2014-139,230.6,2315,2015-01-06,2015-01-07.4
FS-2014-139,220.9,658,2015-01-07,2015-01-08.1
FS-2014-139,228.3,1558,2015-01-07,2015-01-08.0
FS-2014-139,217.1,280,2015-01-08,2015-01-08.4
FS-2014-139,215.2,318,2015-01-08,2015-01-09.0
FS-2014-139,213.4,80,2015-01-09,2015-01-09.2
FS-2014-141,236.9,26,2015-01-01,2015-01-08.0
FS-2015-001,188.0,490,2015-01-01,2015-01-10.5
FS-2015-001,186.5,619,2015-01-02,2015-01-11.1
FS-2015-001,187.1,1236,2015-01-02,2015-01-10.6
FS-2015-001,179.1,2488,2015-01-03,2015-01-11.2
FS-2015-001,183.8,1290,2015-01-03,2015-01-11.3
FS-2015-001,168.7,4609,2015-01-04,2015-01-12.0
FS-2015-001,177.6,2584,2015-01-04,2015-01-11.8
FS-2015-001,165.9,5434,2015-01-05,2015-01-12.2
FS-2015-001,167.9,4605,2015-01-05,2015-01-12.5
FS-2015-001,164.5,5155,2015-01-06,2015-01-12.8
FS-2015-001,162.1,5616,2015-01-06,2015-01-12.5
FS-2015-001,160.3,5275,2015-01-07,2015-01-12.7
FS-2015-001,161.3,5148,2015-01-07,2015-01-13.1
FS-2015-001,158.8,4702,2015-01-08,2015-01-12.8
FS-2015-001,159.8,4806,2015-01-08,2015-01-13.2
FS-2015-001,156.7,3461,2015-01-09,2015-01-13.0
FS-2015-001,158.0,3883,2015-01-09,2015-01-13.4
FS-2015-001,155.7,2599,2015-01-10,2015-01-13.5
FS-2015-001,156.5,2482,2015-01-10,2015-01-13.0
FS-2015-001,157.8,2019,2015-01-11,2015-01-13.4
FS-2015-001,158.4,1910,2015-01-11,2015-01-12.9
FS-2015-001,156.2,1296,2015-01-12,2015-01-13.0
FS-2015-001,159.4,1723,2015-01-12,2015-01-13.3
FS-2015-001,154.2,832,2015-01-13,2015-01-13.7
FS-2015-001,148.9,349,2015-01-13,2015-01-13.6
FS-2015-001,149.1,44,2015-01-14,2015-01-14.2
FS-2015-002,164.2,443,2015-01-02,2015-01-12.3
FS-2015-002,160.8,53,2015-01-03,2015-01-12.6
FS-2015-002,163.8,560,2015-01-03,2015-01-12.8
FS-2015-003,84.3,438,2015-01-10,2015-01-18.4
FS-2015-003,83.6,388,2015-01-11,2015-01-18.9
FS-2015-003,82.2,925,2015-01-11,2015-01-18.5
FS-2015-003,83.7,1389,2015-01-12,2015-01-18.4
FS-2015-003,84.6,929,2015-01-12,2015-01-18.9
FS-2015-003,85.9,1544,2015-01-13,2015-01-18.8
FS-2015-003,85.3,2087,2015-01-13,2015-01-18.3
FS-2015-003,80.7,3134,2015-01-14,2015-01-18.7
FS-2015-003,86.6,1836,2015-01-14,2015-01-18.8
FS-2015-003,80.0,3194,2015-01-15,2015-01-19.3
FS-2015-003,79.2,3227,2015-01-15,2015-01-18.9
FS-2015-003,79.6,2691,2015-01-16,2015-01-18.9
FS-2015-003,79.6,3044,2015-01-16,2015-01-19.4
FS-2015-003,70.6,3748,2015-01-17,2015-01-20.0
FS-2015-003,70.9,3102,2015-01-17,2015-01-19.5
FS-2015-003,67.9,3444,2015-01-18,2015-01-20.3
FS-2015-003,69.3,2088,2015-01-18,2015-01-19.7
FS-2015-003,64.1,603,2015-01-19,2015-01-20.1
FS-2015-003,65.7,1791,2015-01-19,2015-01-20.4
FS-2015-003,58.7,581,2015-01-20,2015-01-20.9
FS-2015-003,56.4,247,2015-01-20,2015-01-20.6
FS-2015-003,54.5,220,2015-01-21,2015-01-21.2
FS-2015-003,50.0,6,2015-01-21,2015-01-21.1
FS-2015-004,105.4,1056,2015-01-11,2015-01-17.7
FS-2015-004,109.6,1330,2015-01-11,2015-01-16.9
FS-2015-004,113.5,1058,2015-01-12,2015-01-16.5
FS-2015-004,111.2,1518,2015-01-12,2015-01-17.2
FS-2015-004,112.7,849,2015-01-13,2015-01-17.1
