InicioSemana,Strength,Number of AR detected
2014-12-29,1713.1904761904761,1.0
2015-01-05,5364.882352941177,3.0
2015-01-12,4011.971153846154,0.0
2015-01-19,3816.6688405797104,2.0
2015-01-26,4556.205949656751,2.0
2015-02-02,7686.609523809524,3.0
2015-02-09,1460.7777777777776,1.0
2015-02-16,4336.342307692308,2.0
2015-02-23,2647.851612903226,0.0
2015-03-02,3614.4231559290383,1.0
2015-03-09,1115.8823529411766,1.0
2015-03-16,2382.2577639751553,2.0
2015-03-23,3202.1666666666665,3.0
2015-03-30,3394.333333333333,1.0
2015-04-06,1395.25,1.0
2015-04-13,6630.739215686274,3.0
2015-04-20,3659.611888111888,1.0
2015-04-27,1667.575,1.0
2015-05-04,1470.2142857142858,6.0
2015-05-11,6685.392857142858,4.0
2015-05-18,2347.157894736842,0.0
2015-05-25,1285.3,1.0
2015-06-01,2818.6918103448274,5.0
2015-06-08,560.3484848484848,2.0
2015-06-15,0.0,1.0
2015-06-22,210.75,0.0
2015-06-29,3984.7980295566504,5.0
2015-07-06,2071.734848484849,1.0
2015-07-13,1563.0,2.0
2015-07-20,1515.6666666666667,1.0
2015-07-27,2241.3325791855204,2.0
2015-08-03,916.8833333333333,3.0
2015-08-10,0.0,0.0
2015-08-17,1965.9384615384615,1.0
2015-08-24,1495.6551036682615,0.0
2015-08-31,463.5,1.0
2015-09-07,270.0,2.0
2015-09-14,2345.023376623377,1.0
2015-09-21,0.0,1.0
2015-09-28,1239.088888888889,0.0
2015-10-05,745.5526315789474,3.0
2015-10-12,3817.2654545454543,3.0
2015-10-19,709.5833333333333,2.0
2015-10-26,408.6666666666667,2.0
2015-11-02,1356.060606060606,3.0
2015-11-09,2969.518483709273,1.0
2015-11-16,935.8,1.0
2015-11-23,608.4117647058823,2.0
2015-11-30,1304.4190476190477,3.0
2015-12-07,735.3555555555556,4.0
2015-12-14,1828.975,0.0
2015-12-21,1853.812834224599,2.0
2015-12-28,465.1428571428572,0.0
