Designation,Date,Carrington Longitude
12255,2015-01-02,322.7
12258,2015-01-07,261.8
12259,2015-01-09,244.5
12261,2015-01-10,221.3
12267,2015-01-20,103.6
12268,2015-01-23,55.1
12272,2015-01-27,9.5
12277,2015-01-29,336.1
12280,2015-02-03,282.3
12281,2015-02-04,249.1
12282,2015-02-08,195.5
12284,2015-02-14,136.5
12289,2015-02-19,57.6
12290,2015-02-19,56.6
12297,2015-03-07,194.9
12299,2015-03-13,136.8
12303,2015-03-18,65.9
12305,2015-03-22,11.2
12312,2015-03-24,343.8
12313,2015-03-25,335.6
12314,2015-03-27,306.3
12318,2015-04-04,197.7
12321,2015-04-12,93.2
12324,2015-04-15,62.5
12325,2015-04-15,54.5
12327,2015-04-18,11.9
12333,2015-04-23,313.9
12335,2015-05-01,194.2
12337,2015-05-04,174.5
12338,2015-05-04,174.5
12339,2015-05-06,134.1
12340,2015-05-08,112.7
12341,2015-05-08,104.7
12342,2015-05-10,88.2
12344,2015-05-11,67.0
12346,2015-05-12,55.8
12347,2015-05-12,56.8
12348,2015-05-15,25.1
12356,2015-05-29,198.9
12358,2015-06-01,149.2
12361,2015-06-05,103.3
12362,2015-06-05,98.3
12364,2015-06-07,76.8
12365,2015-06-07,76.8
12367,2015-06-12,4.6
12369,2015-06-14,353.1
12371,2015-06-17,302.4
12373,2015-06-29,142.6
12375,2015-06-30,127.4
12376,2015-07-01,126.1
12378,2015-07-03,92.6
12381,2015-07-05,73.2
12384,2015-07-09,15.2
12386,2015-07-13,313.3
12387,2015-07-17,270.4
12389,2015-07-25,163.5
12391,2015-07-28,114.8
12394,2015-07-31,81.2
12395,2015-08-04,30.2
12396,2015-08-04,37.2
12398,2015-08-08,340.4
12403,2015-08-19,190.9
12411,2015-09-05,326.3
12412,2015-09-07,305.9
12415,2015-09-12,229.9
12418,2015-09-14,202.5
12420,2015-09-21,108.1
12429,2015-10-07,271.9
12430,2015-10-09,241.5
12431,2015-10-11,200.2
12434,2015-10-14,161.6
12435,2015-10-17,122.0
12436,2015-10-18,111.8
12437,2015-10-19,95.6
12439,2015-10-23,40.9
12443,2015-10-30,317.6
12444,2015-10-30,323.6
12448,2015-11-05,233.4
12449,2015-11-07,207.1
12450,2015-11-08,199.9
12454,2015-11-14,120.8
12457,2015-11-20,37.7
12458,2015-11-23,356.1
12459,2015-11-25,326.8
12462,2015-12-04,215.2
12463,2015-12-04,207.2
12464,2015-12-06,188.8
12465,2015-12-08,172.5
12468,2015-12-11,125.9
12469,2015-12-13,97.6
12470,2015-12-13,88.6
12472,2015-12-22,328.0
12473,2015-12-22,327.0
