Designation,Strength,Prediction Date
FS-2014-132_2015-01,817.3333333333334,2015-01-02.1
FS-2014-134_2015-01,895.8571428571429,2015-01-04.5
FS-2014-137_2015-01,134.2,2015-01-04.5
FS-2014-139_2015-01,5338.882352941177,2015-01-09.2
FS-2014-141_2015-01,26.0,2015-01-08.0
FS-2015-001_2015-01,2871.346153846154,2015-01-14.2
FS-2015-002_2015-01,352.0,2015-01-12.8
FS-2015-003_2015-01,1767.6521739130435,2015-01-21.2
FS-2015-004_2015-01,788.625,2015-01-17.7
FS-2015-005_2015-01,474.25,2015-01-20.2
FS-2015-006_2015-01,391.1,2015-01-21.7
FS-2015-007_2015-01,1183.6666666666667,2015-01-25.1
FS-2015-008_2015-01,1790.6842105263158,2015-01-25.7
FS-2015-009_2015-01,2765.521739130435,2015-01-29.0
FS-2015-010_2015-01,468.0,2015-01-22.2
FS-2015-011_2015-01,309.0,2015-01-28.7
FS-2015-012_2015-01,210.85714285714286,2015-01-28.7
FS-2015-013_2015-01,631.8,2015-02-02.5
FS-2015-014_2015-01,2496.3,2015-02-03.3
FS-2015-015_2015-01,1934.142857142857,2015-02-04.2
FS-2015-016_2015-01,799.8571428571429,2015-02-03.1
FS-2015-017_2015-01,723.8,2015-02-06.7
FS-2015-018_2015-01,1679.9,2015-02-08.1
FS-2015-019_2015-01,220.66666666666666,2015-02-05.2
FS-2015-020_2015-02,450.3333333333333,2015-02-10.0
FS-2015-021_2015-02,188.0,2015-02-08.6
FS-2015-022_2015-02,1010.4444444444445,2015-02-14.5
FS-2015-023_2015-02,2490.25,2015-02-18.1
FS-2015-024_2015-02,366.4,2015-02-16.4
FS-2015-025_2015-02,1931.952380952381,2015-02-18.2
FS-2015-026_2015-02,710.6923076923077,2015-02-19.3
FS-2015-027_2015-02,2331.451612903226,2015-02-28.1
FS-2015-028_2015-02,769.0,2015-02-21.5
FS-2015-029_2015-02,316.4,2015-02-26.6
FS-2015-030_2015-02,1198.5882352941176,2015-03-03.2
FS-2015-031_2015-02,260.3333333333333,2015-03-02.6
FS-2015-032_2015-02,944.2,2015-03-06.3
FS-2015-033_2015-02,806.8571428571429,2015-03-03.7
FS-2015-034_2015-03,404.44444444444446,2015-03-06.8
FS-2015-035_2015-03,1115.8823529411766,2015-03-10.6
FS-2015-036_2015-03,1456.0434782608695,2015-03-17.2
FS-2015-037_2015-03,926.2142857142857,2015-03-19.8
FS-2015-038_2015-03,2055.6666666666665,2015-03-24.1
FS-2015-039_2015-03,957.0,2015-03-26.1
FS-2015-040_2015-03,189.5,2015-03-27.0
FS-2015-041_2015-03,1334.952380952381,2015-03-31.1
FS-2015-042_2015-03,2059.3809523809523,2015-04-03.3
FS-2015-043_2015-03,1126.75,2015-04-06.8
FS-2015-044_2015-04,5381.705882352941,2015-04-17.3
FS-2015-045_2015-04,268.5,2015-04-11.8
FS-2015-046_2015-04,348.3333333333333,2015-04-13.6
FS-2015-047_2015-04,898.4444444444445,2015-04-17.0
FS-2015-048_2015-04,240.0,2015-04-14.0
FS-2015-049_2015-04,170.0,2015-04-13.6
FS-2015-050_2015-04,291.5,2015-04-15.9
FS-2015-051_2015-04,369.2,2015-04-17.9
FS-2015-052_2015-04,356.25,2015-04-18.2
FS-2015-053_2015-04,2554.2272727272725,2015-04-21.3
FS-2015-054_2015-04,1105.3846153846155,2015-04-25.9
FS-2015-055_2015-04,278.2,2015-04-27.7
FS-2015-056_2015-04,898.5,2015-04-29.4
FS-2015-057_2015-04,490.875,2015-05-01.6
FS-2015-058_2015-04,256.57142857142856,2015-05-01.0
FS-2015-059_2015-04,4158.0,2015-05-12.2
FS-2015-060_2015-04,1088.7142857142858,2015-05-08.5
FS-2015-061_2015-04,381.5,2015-05-06.7
FS-2015-062_2015-05,315.6666666666667,2015-05-10.7
FS-2015-063_2015-05,1186.8095238095239,2015-05-13.4
FS-2015-064_2015-05,756.25,2015-05-16.6
FS-2015-065_2015-05,1896.157894736842,2015-05-18.6
FS-2015-066_2015-05,500.4,2015-05-18.1
FS-2015-067_2015-05,451.0,2015-05-20.8
FS-2015-068_2015-05,268.6666666666667,2015-05-15.4
FS-2015-069_2015-05,979.0,2015-05-28.2
FS-2015-070_2015-05,2086.3793103448274,2015-06-04.1
FS-2015-071_2015-05,306.3,2015-05-30.6
FS-2015-072_2015-05,732.3125,2015-06-06.0
FS-2015-073_2015-06,316.1818181818182,2015-06-09.8
FS-2015-074_2015-06,244.16666666666666,2015-06-11.7
FS-2015-075_2015-06,2897.655172413793,2015-06-30.8
FS-2015-076_2015-06,210.75,2015-06-23.7
FS-2015-077_2015-06,1087.142857142857,2015-07-02.6
FS-2015-078_2015-06,1337.9166666666667,2015-07-08.0
FS-2015-079_2015-06,733.8181818181819,2015-07-06.6
FS-2015-080_2015-07,1563.0,2015-07-13.0
FS-2015-081_2015-07,1515.6666666666667,2015-07-24.5
FS-2015-082_2015-07,1454.2941176470588,2015-07-27.0
FS-2015-083_2015-07,303.5,2015-07-28.4
FS-2015-084_2015-07,483.53846153846155,2015-07-30.1
FS-2015-085_2015-07,387.75,2015-08-03.6
FS-2015-086_2015-07,291.8,2015-08-04.1
FS-2015-087_2015-07,237.33333333333334,2015-08-07.3
FS-2015-088_2015-08,543.5384615384615,2015-08-16.8
FS-2015-089_2015-08,1123.0,2015-08-21.4
FS-2015-090_2015-08,299.4,2015-08-23.6
FS-2015-091_2015-08,806.5263157894736,2015-08-28.8
FS-2015-092_2015-08,486.5833333333333,2015-08-26.1
FS-2015-093_2015-08,202.54545454545453,2015-08-27.7
FS-2015-094_2015-08,463.5,2015-08-30.7
FS-2015-095_2015-09,270.0,2015-09-09.3
FS-2015-096_2015-09,1275.7142857142858,2015-09-14.3
FS-2015-097_2015-09,309.90909090909093,2015-09-15.7
FS-2015-098_2015-09,513.4,2015-09-16.9
FS-2015-099_2015-09,246.0,2015-09-18.6
FS-2015-100_2015-09,624.8666666666667,2015-10-01.4
FS-2015-101_2015-09,614.2222222222222,2015-10-03.9
FS-2015-102_2015-10,221.5,2015-10-07.2
FS-2015-103_2015-10,524.0526315789474,2015-10-10.5
FS-2015-104_2015-10,1538.0454545454545,2015-10-14.0
FS-2015-105_2015-10,1878.72,2015-10-18.2
FS-2015-106_2015-10,400.5,2015-10-16.7
FS-2015-107_2015-10,252.08333333333334,2015-10-22.2
FS-2015-108_2015-10,457.5,2015-10-22.7
FS-2015-109_2015-10,408.6666666666667,2015-10-27.4
FS-2015-110_2015-10,444.0,2015-11-02.5
FS-2015-111_2015-10,1280.9583333333333,2015-11-10.0
FS-2015-112_2015-10,420.3333333333333,2015-11-08.5
FS-2015-113_2015-10,491.72727272727275,2015-11-04.1
FS-2015-114_2015-11,410.92857142857144,2015-11-08.8
FS-2015-115_2015-11,1277.6315789473683,2015-11-12.7
FS-2015-116_2015-11,935.8,2015-11-19.2
FS-2015-117_2015-11,608.4117647058823,2015-11-25.2
FS-2015-118_2015-11,672.2857142857143,2015-12-01.2
FS-2015-119_2015-11,187.57142857142858,2015-12-01.0
FS-2015-120_2015-11,632.1333333333333,2015-12-04.5
FS-2015-121_2015-11,404.1333333333333,2015-12-09.5
FS-2015-122_2015-12,730.3636363636364,2015-12-09.3
FS-2015-123_2015-12,331.22222222222223,2015-12-11.8
FS-2015-124_2015-12,1582.6,2015-12-16.7
FS-2015-125_2015-12,246.375,2015-12-19.6
FS-2015-126_2015-12,1486.1764705882354,2015-12-22.1
FS-2015-127_2015-12,367.6363636363636,2015-12-27.4
FS-2015-128_2015-12,465.14285714285717,2015-12-31.2
FS-2015-129_2015-12,857.6875,2016-01-02.2
FS-2015-130_2015-12,387.3333333333333,2016-01-05.1
