year,r,error
2011.0,0.5011106541186282,0.0242123782624941
2012.0,0.3985506596477327,0.0175614428626952
2013.0,0.1928022973024327,0.0090831458876795
2014.0,0.1917062918537994,0.0080748634674758
2015.0,0.1719470865109447,0.0077753209190208
2016.0,0.3861970241694284,0.0201379807396379
2017.0,0.1667405267582819,0.0079761124914935
2018.0,-0.0891640194754816,0.0042527242296366
2019.0,0.4163515284221719,0.0180682450172272
2020.0,0.6938699941288744,0.0208448738964167
2021.0,0.3586703697580496,0.0180929925558361
2022.0,0.1776688330256145,0.0096282189125537
2015.0,0.1601770507545213,0.0052535884001838
2015.0,0.1601770507545213,0.0052037902298526
2015.0,0.1601770507545213,0.0052037902298526
2013.0,0.1645642609891498,0.0067283719489655
2015.0,0.1601770507545213,0.0052037902298526
2015.0,0.1601770507545213,0.0052037902298526
2015.0,0.1601770507545213,0.0052037902298526
2015.0,0.1601770507545213,0.0052037902298526
2015.0,0.1601770507545213,0.0052037902298526
2015.0,0.1601770507545213,0.0052037902298526
2015.0,0.1601770507545213,0.0052037902298526
2015.0,0.1719470865109447,0.0077753209190208
2015.0,0.1601770507545213,0.0052037902298526
2015.0,0.1719470865109447,0.0077753209190208
2016.0,0.2029692978637375,0.0092161506856549
2016.0,0.3861970241694284,0.0201379807396379
2022.0,0.2740549484783169,0.0100530695057395
2022.0,0.1776688330256145,0.0096282189125537
2021.0,0.2427556748565959,0.0115388422567192
2021.0,0.3586703697580496,0.0180929925558361
2020.0,0.4732029329358344,0.0139188080439993
2020.0,0.6938699941288744,0.0208448738964167
2019.0,0.4349880793761103,0.018364809947188
2019.0,0.4163515284221719,0.0180682450172272
2018.0,-0.0450651402563239,0.0020071845769468
2018.0,-0.0891640194754816,0.0042527242296366
2017.0,0.2322925904477006,0.0101006777905024
2017.0,0.1667405267582819,0.0079761124914935
2014.0,0.1622858398421182,0.0053620593739915
2014.0,0.1917062918537994,0.0080748634674758
2012.0,0.3351280281153222,0.0134467261730113
2012.0,0.3985506596477327,0.017561442862695287
