year,Pearson coefficient,Pearson_Error,Spearman coefficient,Spearman_Error
2011,0.5170487012642727,0.0470122390035184,0.4722349613875749,0.0407265163874626
2012,0.4753780884850599,0.066099708624207,0.4173263192593959,0.0579949924656558
2013,0.2268256913358539,0.0501793997234531,0.2815009232179443,0.0582997908559618
2014,0.2160092910831243,0.0696512722148852,0.2121785005631849,0.0570520967886729
