Semana,Filas_unicas,
2022-00,0.0,342.8
2022-01,0.0,637.4047619047619
2022-02,1.0,828.6153846153846
2022-03,1.0,490.6666666666667
2022-04,1.0,576.125
2022-05,5.0,536.75
2022-06,1.0,698.8095238095239
2022-07,1.0,2387.1481481481483
2022-08,2.0,1225.9772727272727
2022-09,1.0,918.9545454545456
2022-10,1.0,277.72222222222223
2022-11,0.0,486.26666666666665
2022-12,3.0,1191.571428571429
2022-13,2.0,1206.64
2022-14,1.0,1075.304347826087
2022-15,2.0,2352.230769230769
2022-16,6.0,788.9761904761905
2022-17,3.0,791.6111111111111
2022-18,1.0,1548.3333333333333
2022-19,4.0,2454.740740740741
2022-20,4.0,750.204081632653
2022-21,3.0,878.7551020408164
2022-22,0.0,1571.1060606060605
2022-23,1.0,1648.0
2022-24,3.0,517.3529411764706
2022-25,1.0,734.34375
2022-26,1.0,1322.46875
2022-27,1.0,1178.354838709677
2022-28,4.0,763.6086956521739
2022-29,1.0,798.4888888888889
2022-30,1.0,905.782608695652
2022-31,1.0,834.6
2022-32,2.0,718.0
2022-33,0.0,85.33333333333333
2022-34,1.0,839.7142857142857
2022-35,2.0,1267.7
2022-36,2.0,2241.451612903226
2022-37,0.0,2423.1428571428573
2022-38,3.0,1546.7543859649122
2022-39,2.0,1865.6521739130435
2022-40,1.0,985.4193548387096
2022-41,0.0,1066.2112676056338
2022-42,0.0,1279.2333333333331
2022-43,3.0,2255.4074074074074
2022-44,3.0,1438.660377358491
2022-45,1.0,666.542372881356
2022-46,2.0,699.0208333333334
2022-47,0.0,2012.684210526316
2022-48,2.0,1563.1555555555556
2022-49,4.0,752.9433962264151
2022-50,2.0,1556.6607142857142
2022-51,8.0,1632.1976744186047
2022-52,2.0,2362.6266666666666
