Mitad_semana,Filas_unicas
2022-00,0.0
2022-00.5,0.0
2022-01,0.0
2022-01.5,0.0
2022-02,1.0
2022-02.5,0.0
2022-03,0.0
2022-03.5,1.0
2022-04,0.0
2022-04.5,1.0
2022-05,3.0
2022-05.5,2.0
2022-06,0.0
2022-06.5,1.0
2022-07,0.0
2022-07.5,1.0
2022-08,2.0
2022-08.5,0.0
2022-09,0.0
2022-09.5,1.0
2022-10,1.0
2022-10.5,0.0
2022-11,0.0
2022-11.5,0.0
2022-12,1.0
2022-12.5,2.0
2022-13,2.0
2022-13.5,0.0
2022-14,1.0
2022-14.5,0.0
2022-15,1.0
2022-15.5,1.0
2022-16,5.0
2022-16.5,1.0
2022-17,3.0
2022-17.5,0.0
2022-18,0.0
2022-18.5,1.0
2022-19,1.0
2022-19.5,3.0
2022-20,3.0
2022-20.5,1.0
2022-21,1.0
2022-21.5,2.0
2022-22,0.0
2022-22.5,0.0
2022-23,0.0
2022-23.5,1.0
2022-24,3.0
2022-24.5,0.0
2022-25,1.0
2022-25.5,0.0
2022-26,0.0
2022-26.5,1.0
2022-27,1.0
2022-27.5,0.0
2022-28,2.0
2022-28.5,2.0
2022-29,1.0
2022-29.5,0.0
2022-30,1.0
2022-30.5,0.0
2022-31,0.0
2022-31.5,1.0
2022-32,2.0
2022-32.5,0.0
2022-33,0.0
2022-33.5,0.0
2022-34,1.0
2022-34.5,0.0
2022-35,0.0
2022-35.5,2.0
2022-36,2.0
2022-36.5,0.0
2022-37,0.0
2022-37.5,0.0
2022-38,2.0
2022-38.5,1.0
2022-39,1.0
2022-39.5,1.0
2022-40,1.0
2022-40.5,0.0
2022-41,0.0
2022-41.5,0.0
2022-42,0.0
2022-42.5,0.0
2022-43,2.0
2022-43.5,1.0
2022-44,1.0
2022-44.5,2.0
2022-45,1.0
2022-45.5,0.0
2022-46,0.0
2022-46.5,2.0
2022-47,0.0
2022-47.5,0.0
2022-48,0.0
2022-48.5,2.0
2022-49,4.0
2022-49.5,0.0
2022-50,1.0
2022-50.5,1.0
2022-51,5.0
2022-51.5,3.0
2022-52,1.0
2022-52.5,1.0
