Mitad_semana,Filas_unicas
2016-00,0.0
2016-00.5,2.0
2016-01,1.0
2016-01.5,1.0
2016-02,0.0
2016-02.5,0.0
2016-03,1.0
2016-03.5,0.0
2016-04,1.0
2016-04.5,0.0
2016-05,1.0
2016-05.5,0.0
2016-06,0.0
2016-06.5,0.0
2016-07,2.0
2016-07.5,0.0
2016-08,0.0
2016-08.5,0.0
2016-09,0.0
2016-09.5,2.0
2016-10,0.0
2016-10.5,2.0
2016-11,0.0
2016-11.5,2.0
2016-12,0.0
2016-12.5,1.0
2016-13,0.0
2016-13.5,0.0
2016-14,0.0
2016-14.5,2.0
2016-15,0.0
2016-15.5,0.0
2016-16,1.0
2016-16.5,1.0
2016-17,1.0
2016-17.5,1.0
2016-18,1.0
2016-18.5,1.0
2016-19,0.0
2016-19.5,0.0
2016-20,1.0
2016-20.5,0.0
2016-21,0.0
2016-21.5,0.0
2016-22,0.0
2016-22.5,0.0
2016-23,0.0
2016-23.5,1.0
2016-24,0.0
2016-24.5,1.0
2016-25,0.0
2016-25.5,0.0
2016-26,0.0
2016-26.5,0.0
2016-27,0.0
2016-27.5,2.0
2016-28,2.0
2016-28.5,0.0
2016-29,0.0
2016-29.5,0.0
2016-30,0.0
2016-30.5,1.0
2016-31,0.0
2016-31.5,0.0
2016-32,6.0
2016-32.5,0.0
2016-33,1.0
2016-33.5,0.0
2016-34,0.0
2016-34.5,0.0
2016-35,0.0
2016-35.5,2.0
2016-36,0.0
2016-36.5,0.0
2016-37,0.0
2016-37.5,1.0
2016-38,0.0
2016-38.5,0.0
2016-39,0.0
2016-39.5,0.0
2016-40,1.0
2016-40.5,1.0
2016-41,0.0
2016-41.5,0.0
2016-42,0.0
2016-42.5,0.0
2016-43,0.0
2016-43.5,0.0
2016-44,0.0
2016-44.5,1.0
2016-45,0.0
2016-45.5,0.0
2016-46,0.0
2016-46.5,0.0
2016-47,0.0
2016-47.5,1.0
2016-48,0.0
2016-48.5,0.0
2016-49,0.0
2016-49.5,0.0
2016-50,0.0
2016-50.5,0.0
2016-51,0.0
2016-51.5,0.0
2016-52,0.0
2016-52.5,0.0
