strength,date,,filename
615,2017-08-01.0,2017-07-26.0,AR_LIST_2017.07.26_00:00:00.txt
744,2017-07-31.5,2017-07-26.5,AR_LIST_2017.07.26_12:00:00.txt
809,2017-08-01.0,2017-07-27.0,AR_LIST_2017.07.27_00:00:00.txt
826,2017-07-31.6,2017-07-27.5,AR_LIST_2017.07.27_12:00:00.txt
826,2017-08-01.1,2017-07-28.0,AR_LIST_2017.07.28_00:00:00.txt
796,2017-07-31.6,2017-07-28.5,AR_LIST_2017.07.28_12:00:00.txt
810,2017-08-01.1,2017-07-29.0,AR_LIST_2017.07.29_00:00:00.txt
776,2017-07-31.7,2017-07-29.5,AR_LIST_2017.07.29_12:00:00.txt
722,2017-08-01.2,2017-07-30.0,AR_LIST_2017.07.30_00:00:00.txt
561,2017-07-31.7,2017-07-30.5,AR_LIST_2017.07.30_12:00:00.txt
499,2017-08-01.2,2017-07-31.0,AR_LIST_2017.07.31_00:00:00.txt
414,2017-07-31.7,2017-07-31.5,AR_LIST_2017.07.31_12:00:00.txt
294,2017-08-01.3,2017-08-01.0,AR_LIST_2017.08.01_00:00:00.txt
54,2017-08-01.1,2017-08-01.5,AR_LIST_2017.08.01_12:00:00.txt
552,2017-09-24.1,2017-09-15.0,AR_LIST_2017.09.15_00:00:00.txt
585,2017-09-23.6,2017-09-15.5,AR_LIST_2017.09.15_12:00:00.txt
708,2017-09-24.0,2017-09-16.0,AR_LIST_2017.09.16_00:00:00.txt
684,2017-09-19.7,2017-09-16.5,AR_LIST_2017.09.16_12:00:00.txt
863,2017-09-23.5,2017-09-16.5,AR_LIST_2017.09.16_12:00:00.txt
538,2017-09-20.2,2017-09-17.0,AR_LIST_2017.09.17_00:00:00.txt
889,2017-09-24.0,2017-09-17.0,AR_LIST_2017.09.17_00:00:00.txt
639,2017-09-24.9,2017-09-17.0,AR_LIST_2017.09.17_00:00:00.txt
608,2017-09-19.7,2017-09-17.5,AR_LIST_2017.09.17_12:00:00.txt
1202,2017-09-23.4,2017-09-17.5,AR_LIST_2017.09.17_12:00:00.txt
541,2017-09-24.4,2017-09-17.5,AR_LIST_2017.09.17_12:00:00.txt
304,2017-09-20.3,2017-09-18.0,AR_LIST_2017.09.18_00:00:00.txt
1277,2017-09-23.9,2017-09-18.0,AR_LIST_2017.09.18_00:00:00.txt
774,2017-09-24.9,2017-09-18.0,AR_LIST_2017.09.18_00:00:00.txt
371,2017-09-19.8,2017-09-18.5,AR_LIST_2017.09.18_12:00:00.txt
1426,2017-09-23.3,2017-09-18.5,AR_LIST_2017.09.18_12:00:00.txt
633,2017-09-24.4,2017-09-18.5,AR_LIST_2017.09.18_12:00:00.txt
132,2017-09-20.4,2017-09-19.0,AR_LIST_2017.09.19_00:00:00.txt
1353,2017-09-23.8,2017-09-19.0,AR_LIST_2017.09.19_00:00:00.txt
860,2017-09-25.0,2017-09-19.0,AR_LIST_2017.09.19_00:00:00.txt
200,2017-09-19.9,2017-09-19.5,AR_LIST_2017.09.19_12:00:00.txt
1532,2017-09-23.3,2017-09-19.5,AR_LIST_2017.09.19_12:00:00.txt
835,2017-09-24.4,2017-09-19.5,AR_LIST_2017.09.19_12:00:00.txt
110,2017-09-20.4,2017-09-20.0,AR_LIST_2017.09.20_00:00:00.txt
1267,2017-09-23.8,2017-09-20.0,AR_LIST_2017.09.20_00:00:00.txt
884,2017-09-25.0,2017-09-20.0,AR_LIST_2017.09.20_00:00:00.txt
35,2017-09-20.1,2017-09-20.5,AR_LIST_2017.09.20_12:00:00.txt
1297,2017-09-23.3,2017-09-20.5,AR_LIST_2017.09.20_12:00:00.txt
820,2017-09-24.5,2017-09-20.5,AR_LIST_2017.09.20_12:00:00.txt
926,2017-09-23.8,2017-09-21.0,AR_LIST_2017.09.21_00:00:00.txt
756,2017-09-25.1,2017-09-21.0,AR_LIST_2017.09.21_00:00:00.txt
957,2017-09-23.3,2017-09-21.5,AR_LIST_2017.09.21_12:00:00.txt
679,2017-09-24.6,2017-09-21.5,AR_LIST_2017.09.21_12:00:00.txt
717,2017-09-23.9,2017-09-22.0,AR_LIST_2017.09.22_00:00:00.txt
526,2017-09-25.0,2017-09-22.0,AR_LIST_2017.09.22_00:00:00.txt
683,2017-09-23.3,2017-09-22.5,AR_LIST_2017.09.22_12:00:00.txt
375,2017-09-24.5,2017-09-22.5,AR_LIST_2017.09.22_12:00:00.txt
481,2017-09-23.8,2017-09-23.0,AR_LIST_2017.09.23_00:00:00.txt
258,2017-09-24.9,2017-09-23.0,AR_LIST_2017.09.23_00:00:00.txt
472,2017-09-23.4,2017-09-23.5,AR_LIST_2017.09.23_12:00:00.txt
162,2017-09-24.3,2017-09-23.5,AR_LIST_2017.09.23_12:00:00.txt
76,2017-09-24.1,2017-09-24.0,AR_LIST_2017.09.24_00:00:00.txt
60,2017-09-24.7,2017-09-24.0,AR_LIST_2017.09.24_00:00:00.txt
57,2017-09-24.3,2017-09-24.5,AR_LIST_2017.09.24_12:00:00.txt
424,2017-10-22.5,2017-10-17.0,AR_LIST_2017.10.17_00:00:00.txt
428,2017-10-21.9,2017-10-17.5,AR_LIST_2017.10.17_12:00:00.txt
395,2017-10-22.4,2017-10-18.0,AR_LIST_2017.10.18_00:00:00.txt
274,2017-10-21.7,2017-10-18.5,AR_LIST_2017.10.18_12:00:00.txt
238,2017-10-22.3,2017-10-19.0,AR_LIST_2017.10.19_00:00:00.txt
188,2017-10-21.7,2017-10-19.5,AR_LIST_2017.10.19_12:00:00.txt
112,2017-10-22.4,2017-10-20.0,AR_LIST_2017.10.20_00:00:00.txt
24,2017-10-21.7,2017-10-20.5,AR_LIST_2017.10.20_12:00:00.txt
6,2017-10-22.3,2017-10-21.0,AR_LIST_2017.10.21_00:00:00.txt
