ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11987,152.0,60.0,Hsx,1.0,1,Alpha,-2.0,87.0
I,11989,135.0,30.0,Bxo,8.0,3,Beta,8.0,70.0
I,11990,106.0,190.0,Dso,3.0,4,Beta,-12.0,41.0
I,11991,90.0,240.0,Eac,13.0,24,Beta,-24.0,25.0
I,11993,101.0,50.0,Bxo,5.0,10,Beta,16.0,36.0
I,11994,152.0,30.0,Hsx,1.0,1,Alpha,-6.0,87.0
I,11995,115.0,20.0,Bxo,5.0,5,Beta,-16.0,50.0
I,11996,52.0,120.0,Cso,6.0,20,Beta,14.0,-15.0
I,11997,154.0,80.0,Bxo,4.0,5,Beta,-13.0,89.0
I,11998,0.0,60.0,Cho,1.0,2,Beta,-10.0,-65.0
I,11999,45.0,40.0,Dro,6.0,6,Beta,-17.0,-22.0
IA,11992,144.0,,,,,,-19.0,77.0
