ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12096,357.0,10.0,Hsx,1.0,1,Alpha,9.0,51.0
I,12097,350.0,10.0,Hsx,1.0,3,Alpha,12.0,44.0
I,12100,309.0,20.0,Dai,6.0,11,Beta,9.0,2.0
I,12102,277.0,50.0,Dsi,8.0,8,Beta,13.0,-30.0
I,12104,268.0,410.0,Dkc,7.0,16,Beta-Gamma-Delta,-11.0,-39.0
I,12105,311.0,10.0,Bxo,3.0,3,Beta,-6.0,4.0
I,12106,261.0,50.0,Dao,7.0,9,Beta,15.0,-46.0
I,12107,261.0,260.0,Dhc,10.0,8,Beta-Delta,-20.0,-46.0
I,12108,239.0,30.0,Dao,6.0,5,Beta,-8.0,-68.0
IA,12098,24.0,,,,,,-9.0,77.0
IA,12099,8.0,,,,,,-16.0,61.0
IA,12101,22.0,,,,,,-7.0,75.0
IA,12103,297.0,,,,,,-10.0,-10.0
