ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12216,163.0,90.0,Hsx,5.0,1,Alpha,-14.0,90.0
I,12217,124.0,120.0,Dai,8.0,9,Beta-Gamma,-16.0,51.0
I,12218,109.0,160.0,Hsx,3.0,1,Alpha,18.0,36.0
I,12219,163.0,120.0,Hsx,2.0,2,Alpha,3.0,90.0
I,12221,84.0,70.0,Cao,9.0,8,Beta,6.0,11.0
I,12222,83.0,620.0,Eki,14.0,27,Beta-Gamma,-19.0,10.0
I,12225,43.0,10.0,Bxo,1.0,3,Beta,-17.0,-30.0
I,12226,109.0,40.0,Cao,6.0,4,Beta,-19.0,36.0
I,12227,2.0,60.0,Hsx,5.0,1,Alpha,-3.0,-71.0
IA,12220,157.0,,,,,,-16.0,83.0
IA,12223,154.0,,,,,,15.0,80.0
IA,12224,101.0,,,,,,-24.0,27.0
