ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12079,279.0,90.0,Hsx,1.0,1,Alpha,12.0,94.0
I,12080,263.0,400.0,Ekc,11.0,27,Beta-Gamma-Delta,-11.0,78.0
I,12082,251.0,240.0,Dai,9.0,21,Beta,15.0,67.0
I,12085,256.0,490.0,Fki,16.0,47,Beta-Gamma,-20.0,71.0
I,12086,220.0,10.0,Bxo,3.0,2,Beta,1.0,32.0
I,12087,155.0,220.0,Eac,11.0,27,Beta-Gamma-Delta,-18.0,-30.0
I,12088,244.0,70.0,Dao,6.0,11,Beta,-10.0,60.0
I,12089,196.0,60.0,Dai,7.0,11,Beta,17.0,11.0
I,12090,141.0,170.0,Dso,10.0,4,Beta,24.0,-44.0
I,12091,202.0,20.0,Cro,3.0,3,Beta,-9.0,17.0
I,12092,139.0,30.0,Dro,6.0,12,Beta,-19.0,-46.0
