ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11936,225.0,210.0,Eac,13.0,18,Beta-Gamma-Delta,-16.0,49.0
I,11938,178.0,30.0,Cro,4.0,6,Beta,-12.0,3.0
I,11940,235.0,40.0,Cao,4.0,3,Beta-Gamma,-12.0,59.0
I,11941,210.0,40.0,Dao,5.0,4,Beta-Gamma,-12.0,34.0
I,11942,126.0,20.0,Cro,1.0,1,Beta,10.0,-49.0
I,11943,118.0,20.0,Cro,3.0,1,Beta,-11.0,-57.0
I,11944,101.0,250.0,Dko,7.0,3,Beta,-7.0,-75.0
IA,11935,258.0,,,,,,-6.0,82.0
IA,11937,199.0,,,,,,-12.0,23.0
