ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12171,267.0,40.0,Hsx,1.0,1,Alpha,-6.0,83.0
I,12172,242.0,320.0,Fkc,16.0,14,Beta-Gamma,-10.0,57.0
I,12173,251.0,100.0,Eai,13.0,9,Beta-Gamma,-14.0,66.0
I,12175,264.0,450.0,Ekc,11.0,11,Beta-Gamma,17.0,79.0
I,12176,210.0,30.0,Dro,5.0,3,Beta,8.0,25.0
I,12177,169.0,140.0,Eac,13.0,19,Beta-Gamma,12.0,-16.0
I,12178,153.0,120.0,Dao,6.0,5,Beta-Gamma,-3.0,-32.0
I,12179,144.0,30.0,Hax,2.0,1,Alpha,-11.0,-41.0
I,12180,197.0,10.0,Bxo,2.0,2,Beta,12.0,13.0
I,12181,160.0,10.0,Hrx,1.0,1,Alpha,-9.0,-23.0
