ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12010,202.0,170.0,Dai,9.0,17,Beta-Gamma,-14.0,40.0
I,12013,188.0,10.0,Axx,1.0,1,Alpha,15.0,25.0
I,12014,167.0,240.0,Esc,11.0,22,Beta-Gamma,-13.0,5.0
I,12015,231.0,70.0,Dac,1.0,1,Beta-Delta,-12.0,69.0
I,12017,142.0,130.0,Dsi,9.0,9,Beta,10.0,-20.0
I,12018,137.0,30.0,Cro,6.0,4,Beta,2.0,-25.0
IA,12007,252.0,,,,,,11.0,89.0
IA,12008,238.0,,,,,,-7.0,75.0
IA,12012,200.0,,,,,,-9.0,37.0
IA,12016,199.0,,,,,,-28.0,35.0
