ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12230,322.0,80.0,Hax,2.0,1,Alpha,-14.0,74.0
I,12234,320.0,90.0,Hsx,1.0,2,Alpha,5.0,71.0
I,12235,265.0,160.0,Cao,3.0,6,Beta,-7.0,17.0
I,12236,240.0,120.0,Cao,3.0,4,Beta,29.0,-8.0
I,12237,250.0,80.0,Hsx,2.0,1,Alpha,-13.0,2.0
I,12239,251.0,80.0,Dai,7.0,13,Beta,13.0,2.0
I,12240,216.0,70.0,Cao,5.0,3,Beta,10.0,-33.0
I,12241,218.0,220.0,Eac,11.0,24,Beta-Gamma,-10.0,-30.0
I,12242,237.0,630.0,Dkc,9.0,25,Beta-Gamma-Delta,-19.0,-11.0
IA,12232,294.0,,,,,,10.0,45.0
IA,12233,337.0,,,,,,3.0,88.0
IA,12238,253.0,,,,,,1.0,4.0
