ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12235,266.0,60.0,Cao,2.0,4,Beta,-7.0,56.0
I,12236,242.0,90.0,Hax,2.0,1,Alpha,30.0,32.0
I,12237,251.0,20.0,Hrx,1.0,2,Alpha,-13.0,41.0
I,12239,252.0,40.0,Dao,7.0,9,Beta,15.0,42.0
I,12240,214.0,60.0,Cso,9.0,4,Beta,11.0,4.0
I,12241,215.0,720.0,Ekc,13.0,21,Beta-Gamma-Delta,-9.0,6.0
I,12242,238.0,1080.0,Ekc,15.0,34,Beta-Gamma-Delta,-18.0,29.0
I,12243,180.0,10.0,Axx,1.0,1,Alpha,9.0,-28.0
IA,12232,297.0,,,,,,10.0,87.0
IA,12238,259.0,,,,,,1.0,49.0
