ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12100,308.0,30.0,Dao,8.0,14,Beta,11.0,27.0
I,12102,277.0,60.0,Dai,8.0,19,Beta,13.0,-4.0
I,12104,269.0,400.0,Dkc,8.0,23,Beta-Gamma,-11.0,-12.0
I,12106,259.0,120.0,Dso,6.0,12,Beta,15.0,-22.0
I,12107,259.0,310.0,Dko,7.0,7,Beta-Gamma,-20.0,-22.0
I,12108,241.0,90.0,Dao,6.0,7,Beta,-9.0,-40.0
I,12109,220.0,410.0,Dkc,10.0,15,Beta,-8.0,-61.0
I,12110,233.0,10.0,Bxo,5.0,2,Beta,-16.0,-48.0
IA,12096,360.0,,,,,,10.0,80.0
IA,12097,353.0,,,,,,14.0,72.0
IA,12099,10.0,,,,,,-16.0,89.0
IA,12103,299.0,,,,,,-10.0,18.0
IA,12105,308.0,,,,,,-5.0,27.0
