ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12141,29.0,50.0,Hsx,1.0,1,Alpha,16.0,63.0
I,12143,32.0,120.0,Cai,6.0,9,Beta,-6.0,66.0
I,12146,344.0,170.0,Cso,5.0,9,Beta,10.0,18.0
I,12147,334.0,10.0,Hax,1.0,1,Alpha,-10.0,8.0
I,12148,326.0,110.0,Dao,10.0,12,Beta,7.0,0.0
I,12149,277.0,120.0,Eac,12.0,10,Beta-Gamma,11.0,-49.0
I,12150,266.0,130.0,Hsx,2.0,1,Alpha,-13.0,-59.0
I,12151,255.0,90.0,Hsx,2.0,1,Alpha,-7.0,-71.0
IA,12139,54.0,,,,,,16.0,88.0
IA,12142,42.0,,,,,,5.0,76.0
