ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12155,109.0,30.0,Bxo,4.0,5,Beta,-19.0,34.0
I,12157,99.0,260.0,Ekc,13.0,34,Beta-Gamma-Delta,-14.0,24.0
I,12158,87.0,440.0,Dkc,6.0,23,Beta-Gamma,16.0,12.0
I,12159,84.0,10.0,Axx,1.0,2,Alpha,-21.0,9.0
I,12161,154.0,30.0,Axx,1.0,1,Alpha,-12.0,79.0
I,12162,146.0,10.0,Bxo,1.0,2,Beta,10.0,71.0
I,12163,65.0,50.0,Cao,5.0,2,Beta,-17.0,-10.0
I,12164,47.0,20.0,Cro,1.0,2,Beta,-13.0,-28.0
I,12165,12.0,20.0,Cao,4.0,3,Beta,-8.0,-63.0
IA,12154,161.0,,,,,,-16.0,86.0
IA,12156,117.0,,,,,,15.0,42.0
