ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11998,1.0,0.0,Axx,1.0,1,Alpha,-7.0,79.0
I,12002,326.0,280.0,Ekc,12.0,24,Beta-Gamma,-18.0,44.0
I,12003,13.0,120.0,Dao,6.0,5,Beta,5.0,91.0
I,12004,299.0,10.0,Bxo,4.0,4,Beta,-10.0,17.0
I,12005,263.0,250.0,Cho,3.0,3,Beta,13.0,-19.0
I,12006,11.0,190.0,Dsi,7.0,5,Beta,11.0,89.0
I,12007,245.0,30.0,Hax,1.0,2,Alpha,11.0,-37.0
I,12008,223.0,40.0,Hax,2.0,1,Alpha,-11.0,-59.0
I,12009,284.0,10.0,Bxo,4.0,4,Beta,14.0,2.0
