ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12055,274.0,200.0,Eso,11.0,2,Beta,13.0,65.0
I,12056,259.0,200.0,Eai,14.0,10,Beta-Gamma,6.0,51.0
I,12057,249.0,60.0,Hax,2.0,1,Alpha,16.0,40.0
I,12058,235.0,0.0,Axx,1.0,1,Alpha,-11.0,26.0
I,12060,227.0,160.0,Dai,9.0,12,Beta-Gamma,-15.0,18.0
I,12061,193.0,110.0,Hax,2.0,2,Alpha,-24.0,-16.0
I,12063,179.0,150.0,Dai,6.0,8,Beta-Gamma,10.0,-30.0
I,12064,195.0,10.0,Bxo,4.0,3,Beta,8.0,-13.0
I,12065,142.0,10.0,Axx,0.0,1,Alpha,-19.0,-67.0
IA,12054,296.0,,,,,,-9.0,87.0
IA,12059,260.0,,,,,,-1.0,51.0
IA,12062,296.0,,,,,,-6.0,87.0
