ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12034,244.0,80.0,Eso,11.0,1,Beta,6.0,92.0
I,12035,223.0,240.0,Eac,13.0,18,Beta,-13.0,71.0
I,12036,245.0,90.0,Eso,13.0,3,Beta,-17.0,92.0
I,12038,185.0,80.0,Dac,7.0,24,Beta-Gamma,-12.0,33.0
I,12042,163.0,170.0,Cao,8.0,5,Beta,18.0,11.0
I,12044,142.0,20.0,Cso,9.0,5,Beta,-19.0,-10.0
I,12045,117.0,80.0,Dao,5.0,10,Beta,-23.0,-36.0
IA,12039,237.0,,,,,,24.0,84.0
IA,12040,223.0,,,,,,15.0,70.0
IA,12043,240.0,,,,,,-11.0,87.0
