ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11955,280.0,20.0,Hax,1.0,2,Alpha,-13.0,60.0
I,11957,281.0,70.0,Cao,8.0,6,Beta-Gamma,11.0,61.0
I,11958,251.0,10.0,Bxo,3.0,3,Beta,-7.0,31.0
I,11959,240.0,170.0,Dsi,10.0,11,Beta,-23.0,20.0
I,11960,237.0,230.0,Cao,4.0,6,Beta,-16.0,17.0
I,11965,203.0,0.0,Axx,1.0,1,Alpha,-15.0,-17.0
I,11966,193.0,20.0,Cro,2.0,3,Beta,-12.0,-27.0
IA,11956,296.0,,,,,,-15.0,76.0
IA,11962,285.0,,,,,,-37.0,65.0
IA,11963,217.0,,,,,,-7.0,-3.0
IA,11964,222.0,,,,,,-13.0,2.0
