ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12121,327.0,10.0,Bxo,5.0,2,Beta,8.0,83.0
I,12125,269.0,10.0,Axx,1.0,1,Alpha,-14.0,25.0
I,12126,326.0,60.0,Cso,13.0,7,Beta,-9.0,82.0
I,12127,250.0,180.0,Dac,5.0,10,Beta,-8.0,6.0
I,12128,249.0,20.0,Hrx,1.0,1,Alpha,-21.0,5.0
I,12130,228.0,200.0,Eac,15.0,18,Beta-Gamma,-7.0,-16.0
I,12131,239.0,40.0,Dai,6.0,9,Beta,-18.0,-5.0
I,12132,212.0,220.0,Dai,9.0,23,Beta-Gamma-Delta,-19.0,-32.0
I,12133,184.0,20.0,Hrx,1.0,1,Alpha,18.0,-60.0
I,12134,175.0,90.0,Dao,10.0,6,Beta,9.0,-69.0
IA,12123,324.0,,,,,,-14.0,80.0
IA,12124,277.0,,,,,,-21.0,33.0
IA,12129,323.0,,,,,,-5.0,79.0
