ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11642,252.0,110.0,Hsx,3.0,1,Alpha,-25.0,70.0
I,11644,240.0,20.0,Hsx,1.0,1,Alpha,15.0,58.0
I,11649,203.0,60.0,Cao,3.0,3,Beta,-16.0,21.0
I,11650,198.0,110.0,Cao,5.0,2,Beta,-28.0,16.0
I,11652,182.0,210.0,Eai,13.0,16,Beta-Gamma,19.0,0.0
I,11653,190.0,10.0,Cao,0.0,2,Beta,9.0,8.0
I,11654,151.0,1100.0,Fki,17.0,36,Beta-Gamma,8.0,-31.0
I,11655,206.0,10.0,Cro,5.0,2,Beta,-21.0,24.0
I,11656,130.0,10.0,Axx,0.0,1,Alpha,22.0,-52.0
I,11657,159.0,10.0,Cro,2.0,2,Beta,-17.0,-23.0
IA,11643,263.0,,,,,,-14.0,81.0
IA,11646,233.0,,,,,,13.0,51.0
IA,11648,224.0,,,,,,5.0,42.0
IA,11651,229.0,,,,,,20.0,47.0
