ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11734,128.0,310.0,Hkx,5.0,2,Alpha,-19.0,88.0
I,11738,83.0,40.0,Cao,5.0,4,Beta,17.0,43.0
I,11739,79.0,10.0,Bxo,2.0,2,Beta,11.0,39.0
I,11740,66.0,10.0,Axx,1.0,1,Alpha,-21.0,26.0
I,11741,45.0,50.0,Cao,5.0,11,Beta,-21.0,5.0
I,11742,18.0,50.0,Dao,9.0,4,Beta,30.0,-22.0
I,11743,11.0,10.0,Bxo,3.0,4,Beta,24.0,-29.0
I,11744,358.0,60.0,Dao,10.0,10,Beta,5.0,-42.0
I,11745,338.0,300.0,Dki,5.0,5,Beta,11.0,-62.0
I,11746,335.0,210.0,Dso,5.0,2,Beta,-27.0,-63.0
IA,11737,117.0,,,,,,16.0,77.0
