ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11780,147.0,10.0,Hrx,1.0,1,Alpha,-13.0,89.0
I,11781,128.0,30.0,Dso,7.0,5,Beta,21.0,69.0
I,11784,52.0,20.0,Cso,4.0,4,Beta,-15.0,-6.0
I,11785,8.0,570.0,Fkc,16.0,20,Beta-Gamma,-11.0,-49.0
I,11786,55.0,10.0,Hsx,1.0,1,Alpha,-31.0,-3.0
I,11787,348.0,60.0,Dso,7.0,3,Beta,-14.0,-70.0
IA,11778,129.0,,,,,,-18.0,70.0
IA,11779,115.0,,,,,,17.0,56.0
IA,11782,82.0,,,,,,-15.0,23.0
IA,11783,40.0,,,,,,7.0,-18.0
