ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11861,163.0,410.0,Eki,15.0,16,Beta-Gamma,-7.0,79.0
I,11864,157.0,20.0,Hsx,1.0,1,Alpha,-23.0,73.0
I,11868,101.0,10.0,Bxo,2.0,4,Beta,23.0,17.0
I,11869,78.0,20.0,Hsx,1.0,1,Alpha,19.0,-7.0
I,11870,143.0,30.0,Cao,2.0,3,Beta,-15.0,58.0
I,11872,56.0,80.0,Hsx,2.0,1,Alpha,-16.0,-28.0
I,11873,50.0,40.0,Cso,8.0,9,Beta,12.0,-34.0
I,11874,77.0,50.0,Dao,5.0,8,Beta,-10.0,-7.0
I,11875,24.0,150.0,Dao,10.0,10,Beta-Gamma,7.0,-60.0
I,11877,9.0,120.0,Hsx,2.0,1,Alpha,-11.0,-75.0
IA,11865,148.0,,,,,,-23.0,64.0
IA,11871,77.0,,,,,,16.0,-8.0
IA,11876,160.0,,,,,,5.0,75.0
