ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11649,204.0,30.0,Hax,5.0,2,Alpha,-15.0,62.0
I,11650,194.0,50.0,Hax,1.0,1,Alpha,-30.0,52.0
I,11652,186.0,160.0,Hax,2.0,5,Alpha,18.0,44.0
I,11654,147.0,920.0,Fkc,21.0,49,Beta-Gamma,8.0,5.0
I,11656,127.0,10.0,Bxo,7.0,4,Beta,23.0,-15.0
I,11658,91.0,90.0,Cso,6.0,7,Beta,-11.0,-51.0
IA,11648,228.0,,,,,,5.0,85.0
IA,11651,231.0,,,,,,20.0,88.0
IA,11653,192.0,,,,,,9.0,49.0
IA,11655,208.0,,,,,,-21.0,65.0
IA,11657,162.0,,,,,,-17.0,19.0
