ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11708,194.0,10.0,Axx,0.0,1,Alpha,13.0,39.0
I,11710,199.0,50.0,Dao,6.0,6,Beta,-21.0,44.0
I,11711,158.0,530.0,Cko,5.0,6,Beta,-15.0,2.0
I,11713,174.0,70.0,Dai,9.0,19,Beta,10.0,19.0
I,11714,129.0,50.0,Hsx,2.0,1,Alpha,12.0,-27.0
I,11715,183.0,30.0,Cao,6.0,5,Beta,17.0,28.0
I,11716,123.0,10.0,Axx,1.0,2,Alpha,-19.0,-32.0
I,11717,89.0,10.0,Axx,2.0,3,Alpha,-10.0,-66.0
I,11718,110.0,10.0,Axx,2.0,2,Alpha,23.0,-45.0
I,11719,77.0,90.0,Hsx,2.0,1,Alpha,8.0,-78.0
IA,11707,240.0,,,,,,-12.0,84.0
IA,11712,191.0,,,,,,2.0,35.0
